hypothesis_id,date_tested,strategy,filter_name,parameter,value,baseline_trades,test_trades,baseline_pnl,test_pnl,baseline_wr,test_wr,baseline_sharpe,test_sharpe,baseline_dd,test_dd,skipped_days,pct_trades_kept,verdict,notes
H2-V16-1a,2026-04-04,LastFive,RANGE_BUDGET,min,0.5,1659,1514,357778,332433,73.9,74.2,10.77,10.89,-2739,-2276,77,91%,GOOD,DD -17% with only 4.6% trades skipped. Best filter efficiency ever found. Range budget concept validated.
H2-V16-1b,2026-04-04,LastFive,RANGE_BUDGET,min,0.7,1659,1100,357778,244926,73.9,72.9,10.77,10.84,-2739,-2757,296,66%,NEUTRAL,DD unchanged. Too many trades removed.
H2-V16-1c,2026-04-04,LastFive,RANGE_BUDGET,min,0.9,1659,686,357778,159904,73.9,71.6,10.77,11.11,-2739,-2276,519,41%,OK,Sharpe +3% but 59% trades removed.
H2-V16-1d,2026-04-04,LastFive,RANGE_BUDGET+VIX16+W10,combo,0.9+0.5+10,1659,571,357778,51844,73.9,83.5,10.77,8.18,-2739,-1262,519,34%,ULTRA SAFE,WR 83.5% DD -54%. Conservative variant.
H2-ORB-4a,2026-04-04,MEIC,ORB_CONTAINMENT,orb_filter,true,1310,380,63928,30831,65.8,70.8,2.29,3.54,-na,-na,0,29%,GOOD,Sharpe +55%! WR +5pts. Avg P&L +65%. Only trades range-bound days. Needs WF validation.
H2-HTF3-1a,2026-04-04,MEIC,PRIOR_DAY_BULLISH,prior_day_bullish,true,1310,499,63928,9272,65.8,63.5,2.29,0.70,-na,-na,0,38%,WORSE,MEIC works BETTER after bearish days (selling exhaustion). Opposite of hypothesis. Rejected.
H2-ORB+HTF3,2026-04-04,MEIC,ORB+BULLISH,combo,true+true,1310,119,63928,6060,65.8,70.6,2.29,1.85,-na,-na,0,9%,TOO FEW,Only 119 trades. Both together is too restrictive.
WF-LF-BUDGET-IS,2026-04-04,LastFive,RANGE_BUDGET,IS,2022-2024,1043,1043,201154,201154,75.3,75.3,9.54,9.54,-2276,-2276,0,100%,WALK-FORWARD,IS reference for range budget.
WF-LF-BUDGET-OOS,2026-04-04,LastFive,RANGE_BUDGET,OOS,2025-2026,471,471,131279,131279,72.0,72.0,14.37,14.37,-1466,-1466,0,100%,VALIDATED,OOS Sharpe 14.37 >> IS 9.54. Range budget concept is real and persists.
WF-MEIC-ORB-IS,2026-04-04,MEIC,ORB_CONTAINMENT,IS,2022-2024,223,223,26438,26438,75.3,75.3,6.10,6.10,-na,-na,0,100%,WALK-FORWARD,IS reference. Strong Sharpe 6.10.
WF-MEIC-ORB-OOS,2026-04-04,MEIC,ORB_CONTAINMENT,OOS,2025-2026,157,157,4393,4393,64.3,64.3,0.99,0.99,-na,-na,0,100%,DEGRADED,OOS Sharpe drops from 6.10 to 0.99. ORB containment does NOT persist for MEIC. Use with caution.
H2-WPR-1a,2026-04-04,Zenith,DUAL_WPR,wpr_filter,21+112,387,79,39964,4710,78.3,81.0,10.61,8.62,-652,-366,308,20%,TOO AGGRESSIVE,Slow %R(112) rarely reaches extremes due to long-term SPX uptrend. Kills 80% trades. WR +2.7% but Sharpe drops.
H2-MMA-1a,2026-04-04,LastFive,PARKINSON_RATIO,max,1.2,1659,1439,357778,319474,73.9,74.3,10.77,11.32,-2739,-1884,134,87%,GOOD,DD -31% Sharpe +5%. Only 8% trades skipped. RELATIVE Parkinson works where absolute failed!
H2-MMA-1b,2026-04-04,LastFive,PARKINSON_RATIO,max,1.0,1659,989,357778,208040,73.9,74.2,10.77,10.84,-2739,-1796,373,60%,OK,DD -34% but 40% trades cut.
H2-MMA-1c,2026-04-04,LastFive,PARKINSON_RATIO,max,0.8,1659,366,357778,79081,73.9,73.5,10.77,11.56,-2739,-1546,705,22%,TOO FEW,Only 22% trades kept.
H2-MMA+BUDGET,2026-04-04,LastFive,PARK_RATIO+BUDGET,1.0+0.5,combo,1659,896,357778,193524,73.9,74.8,10.77,11.13,-2739,-1762,424,54%,GOOD COMBO,DD -36% WR +0.9% Sharpe +3.3%. Both filters orthogonal — catch different bad days.
ULTIMATE-FULL,2026-04-04,LastFive,ALL_STACKED,vix16+w10+budget+park,combo,1659,1068,357778,91348,73.9,85.9,10.77,9.34,-2739,-1287,0,64%,VALIDATED,WR 86% DD -53% Calmar 10.84. OOS Sharpe 10.66 DD -$754. Full stack of all PineScript research.
ULTIMATE-WF-OOS,2026-04-04,LastFive,ALL_STACKED,OOS,2025-2026,0,402,0,43277,0,82.1,0,10.66,0,-754,0,0,VALIDATED,OOS: 402 trades $43k WR 82% DD -$754 Sharpe 10.66. Best OOS DD ever achieved.
CURRENT+BOTH,2026-04-04,LastFive,PARK_WIDEN+FILTERS,budget+park_filt,on_current,1640,1279,330209,265099,75.5,76.5,10.64,11.04,-1819,-1718,205,78%,INCREMENTAL,DD -6% Sharpe +3.8% on top of already-optimized config. Park widen captures most value.
H2-LOR-1,2026-04-04,SimSearch,LORENTZIAN,method,lorentzian,808,103,na,na,48.5,45.6,-1.25,-2.10,na,na,0,100%,WORSE,Lorentzian worse than cosine (45.6% vs 48.5%). SimSearch direction prediction is random regardless of metric.
H2-APEX-SR,2026-04-04,Apex,SAFETY_RATIO,min,1.5,67,42,12465,6840,100,100,11.61,13.38,0,0,53,63%,INSURANCE,100% WR maintained. Sharpe improves but 37% fewer trades. Pure insurance — not backtest-optimizable.
H2-APEX-VC,2026-04-04,Apex,VOL_CONSUMED,max,1.0,67,36,12465,5295,100,100,11.61,13.42,0,0,65,54%,INSURANCE,Same pattern. 46% fewer trades. Both are risk philosophy choices.
H2-VCP-2a,2026-04-04,Zenith,VIX_TERM,max,1.05,335,117,35851,11549,81.2,76.9,11.54,9.90,-497,-497,218,35%,WORSE,VIX term removes good trades. WR drops from 81.2% to 76.9%. Not useful for Zenith.
H2-VCP-2b,2026-04-04,Zenith,ORB20+TERM1.05,combo,20+1.05,335,66,35851,6872,81.2,77.3,11.54,10.27,-497,-497,269,20%,TOO FEW,Only 66 trades. Combo destroys P&L.
H2-LIQ-1,2026-04-04,LastFive,POST_SWEEP,analysis,na,874,874,na,na,77.0,78.9,na,na,na,na,0,100%,NO EFFECT,Post-sweep WR 78.9% vs non 77.0%. Delta is noise. Not a useful filter.
H2-MC-1,2026-04-04,LastFive,MONTE_CARLO,bootstrap,10000,1675,1675,369454,369454,77.7,77.7,11.16,11.16,-2105,-2105,0,100%,VALIDATED,90% CI: P&L $341k-$399k DD -$3.1k to -$1.6k Sharpe 10.3-12.1. P(loss)=0%. Extremely robust.
H2-SMC-4,2026-04-04,LastFive,ZONE_SIDE_FILTER,zone,0.7/0.3,1640,1105,330209,263244,75.5,78.8,10.64,9.91,-1819,-1470,0,67%,TOO AGGRESSIVE,WR +3.3% DD -19% but -$67k P&L and Sharpe drops. Removes 33% trades.
H2-FVA-1a,2026-04-04,LastFive,FRACTAL_EFF,max,0.65,1640,1631,330209,326871,75.5,75.5,10.64,10.61,-1819,-1819,5,99%,NO EFFECT,Only 5 days skipped. Fractal efficiency doesnt predict last 5 min.
H2-FVA-1b,2026-04-04,LastFive,FRACTAL_EFF,max,0.50,1640,1566,330209,308998,75.5,75.3,10.64,10.42,-1819,-1819,40,96%,NO EFFECT,DD unchanged. More trades removed but no improvement.
H2-VXC-2,2026-04-04,LastFive,CALM_STREAK,adjust,10d/20%,1640,1642,330209,333122,75.5,75.5,10.64,10.72,-1819,-1819,0,100%,MARGINAL,+$2.9k +0.08 Sharpe. Too small to adopt.
H2-KER-1,2026-04-04,MEIC,ER_DIRECTION,er+trend,0.5,1310,1221,63928,54679,65.8,65.4,2.29,2.06,na,na,34,93%,REJECTED,ER direction hurts. Skipped 34 days cost $9.2k. Afternoon puts are structural — morning trend doesnt matter.
H2-ORB-2,2026-04-04,MEIC,ORB_BREAKOUT_TIME,breakout_hr,11,1310,28,63928,1804,65.8,71.4,2.29,2.30,na,na,899,2%,REJECTED,SPX breaks 30min ORB before 11AM on 90% of days. Filter kills all activity. ORB too narrow for SPX.
